ID	Cat	Site_ID	AKB	E_coord	N_coord	CK	StoneWalls	Pithoi	Мillstones	Area_daa	SiteOffsite	Type	Relative	Absolute	Кат	Полеви	АКБ	X	Y	СК	Зидове	Питоси	Хромели	дка	Вид	Абсолютна	Област	Община	Землище	Топоним	Експедиция	Година_на_регистрация	Начин_на_добиване_на_данните	Начин_на_локализация_и_достоверност_на_координатите	Релативна	Пра.	Палео.	Нео.	РНео.	СНео.	КНео.	Х	РХ	КХ	БЕ	РБЕ	РБЕ1	РБЕ2	РБЕ3	СБЕ	КБЕ	ЖЕ	РЖЕ	РЖЕ1	РЖЕ2	КЖЕ	КЖЕ1	КЖЕ2	А	К	Ел.	РЕл.	КЕл.	РЕ	КА	КРЕ	РВ	Ср.	РСр.	ЗСр.	КСр.	ПБЦ	ВБЦ	Възраждане	Неопр.	Н.в.	Хипсометрия	Експозиция_код	Експозиция	Наклон	СР2201	СР2202	СР2203	СР2204	СР2205	СР2206	СР2207	СР2208	СР2209	СР2210	СР2211	СР2212	СР2022	Форми_релеф_код	Форми_релефа	Параметри_релеф_код	Параметри_релеф	Почви_код	Почви	Възраст_скали_код	Възраст_скали	Литология_скали_код	Литология_скали	Разстояние_Тунджа_3D	Разстояние_Тунджа_2D	Разстояние_Севтополис_3D	Разстояние_Севтополис_2D	Разстояние_извори_3D	Разстояние_извори_2D	Разстояние_реки_3D	Разстояние_реки_2D	PREHIST	PALEO	NEO	EarlyNEO	MidNEO	LateNEO	CHALCO	EarlyCHALCO	LateCHALCO	BA	EBA	EBA1	EBA2	EBA3	MBA	LBA	IA	EIA	EIA1	EIA2	LIA	LIA1	LIA2	ANTIQ	CLASSICAL	HELLEN	EarlyHELLEN	LateHELLEN	RP	LA	LRP	EByz	MA	EMA	HMA	LMA	1BK	2BK	Renaissance	UNIDENT.	Elevation	Aspect	Slope	ASR2201	ASR2202	ASR2203	ASR2204	ASR2205	ASR2206	ASR2207	ASR2208	ASR2209	ASR2210	ASR2211	ASR2212	ASR2022	Geomorphon	Paramscale	Soils	GeoSeries	GeoLitho	TonsBank3D	TonsBanks2D	Seuto3D	Seuto2D	Spring3D	Spring2D	Rivers3D	Rivers2D
144	1311			26,034134000	42,492202000	NA	NA	NA	NA	NA		Road	Неопр.		1311			26,034134000	42,492202000	нд	нд	нд	нд	нд	Път		Сливен	Нова Загора	Нова Загора	Калдаръма			Топонимия	Кадастрална карта	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	129	Низинен	7	ЮЗ	1	26245	44197	88745	128675	166997	174411	173557	145207	101586	56934	29436	20482	1156472	1	Равен	1	Равен	1	Алувиално-ливадни	15	Алувиални и пролувиални отложения (кватернер)	1	Седиментни	11919	11869	61467	61264	13231	13188	618	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	129	7	1	26245	44197	88745	128675	166997	174411	173557	145207	101586	56934	29436	20482	1156472	1	1	1	15	1	11919	11869	61467	61264	13231	13188	618	615
	1322		10005470	25,174468930	42,231190610	NA	NA	NA	NA	NA		Road	РЕ; КА		1322		10005470	25,174468930	42,231190610	нд	нд	нд	нд	нд	Път		Стара Загора 	Братя Даскалови	Оризово	Бююка/ Кърпачевата воденица/ Имелика 			АКБ картон	Координати от АКБ картона	РЕ; КА	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	158	Низинен	7	ЮЗ	1	26742	44859	89711	129676	167964	175292	174498	146230	102591	57717	29967	20901	1166146	1	Равен	1	Равен	13	Смолници	7	Седиментни (неоген)	1	Седиментни	41010	40683	44154	43973	23723	23704	292	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	158	7	1	26742	44859	89711	129676	167964	175292	174498	146230	102591	57717	29967	20901	1166146	1	1	13	7	1	41010	40683	44154	43973	23723	23704	292	291
498	1653			25,626568000	42,426359000	y	y	NA	NA	NA		Town	А; КА; РСр.; ЗСр.; КСр.		1653			25,626568000	42,426359000	да	да	нд	нд	нд	Град		Стара Загора	Стара Загора	Стара Загора	Августа Траяна/ Бероиа/ Берое/ Ейренополис/ Вероя/ Ески загра			Литературни данни	Общоизвестен топоним	А; КА; РСр.; ЗСр.; КСр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	222	Хълмист	5	ЮИ	4	26738	44843	89725	129819	168301	175716	174883	146436	102631	57700	29959	20902	1167652	6	Склон	1	Равен	4	Канелени	15	Алувиални и пролувиални отложения (кватернер)	1	Седиментни	14327	14117	33836	33662	9220	9030	795	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	222	5	4	26738	44843	89725	129819	168301	175716	174883	146436	102631	57700	29959	20902	1167652	6	1	4	15	1	14327	14117	33836	33662	9220	9030	795	780
464	1656		10006866	26,110492000	42,630714000	NA	NA	NA	NA	NA		Road	А		1656		10006866	26,110492000	42,630714000	нд	нд	нд	нд	нд	Път		Сливен	Сливен	Струпец				АКБ картон	Координати и скици от АКБ картона	А	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	Хълмист	3	СИ	9	20971	37203	78929	119530	160046	169214	167353	136444	91601	48723	23794	16055	1069862	7	Дере	3	Хлътнал	12	Сиви горски	12	Интрузивни магмени (горен палеозой)	3	Интрузивни магмени	697	670	66401	65914	18103	17938	697	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	3	9	20971	37203	78929	119530	160046	169214	167353	136444	91601	48723	23794	16055	1069862	7	3	12	12	3	697	670	66401	65914	18103	17938	697	670
155	1419			25,893408000	42,591130000	NA	NA	NA	NA	NA		Ford (crossing)	Неопр.		1419			25,893408000	42,591130000	нд	нд	нд	нд	нд	Брод		Стара Загора	Гурково	Паничерево				Топонимия	Топографска карта М 1:126 000 	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	229	Хълмист	6	Ю	7	27933	46389	91774	131527	169368	176363	175766	148001	104669	59493	31229	21913	1184425	9	Речна долина	5	Изпъкнал	1	Алувиално-ливадни	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	16	14	48218	48186	1658	1619	16	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	229	6	7	27933	46389	91774	131527	169368	176363	175766	148001	104669	59493	31229	21913	1184425	9	5	1	11	2	16	14	48218	48186	1658	1619	16	14
154	118			25,926868000	42,594481000	NA	NA	NA	NA	NA		Ford (crossing)	Неопр.		118			25,926868000	42,594481000	нд	нд	нд	нд	нд	Брод		Сливен	Нова Загора	Баня				Топонимия	Топографска карта М 1:126 000 	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	233	Хълмист	5	ЮИ	4	28703	47397	93162	132801	170384	177170	176693	149233	106074	60673	32048	22562	1196899	8	Основа на склон	3	Хлътнал	9	Псевдоподзолисти	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	96	91	50997	50906	3002	2900	96	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	233	5	4	28703	47397	93162	132801	170384	177170	176693	149233	106074	60673	32048	22562	1196899	8	3	9	11	2	96	91	50997	50906	3002	2900	96	91
467	1303		5700142	26,084371000	42,554603000	NA	y	NA	NA	7		Fortress?	Неопр.		1303		5700142	26,084371000	42,554603000	нд	да	нд	нд	7	Крепост?		Сливен	Нова Загора	Научен	Черковището			АКБ картон	Координати и скици от АКБ картона	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	233	Хълмист	5	ЮИ	1	26904	45072	90082	130216	168709	176097	175286	146853	103012	57976	30137	21040	1171384	9	Речна долина	3	Хлътнал	4	Канелени	3	Вулкански (горна креда)	4	Вулкански и вулканогенно-седиментни	6775	6673	64301	64155	14489	14421	38	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	233	5	1	26904	45072	90082	130216	168709	176097	175286	146853	103012	57976	30137	21040	1171384	9	3	4	3	4	6775	6673	64301	64155	14489	14421	38	38
13	1417			25,882600000	42,585495000	NA	NA	NA	NA	NA		Settlement	ЗСр	XII – XV	1417			25,882600000	42,585495000	нд	нд	нд	нд	нд	Селище	XII – XV	Стара Загора	Гурково	Паничерево	Ново село/ Янаклари			Литературни данни	Име на местността и описание в посочените публикации	ЗСр	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	234	Хълмист	1	Равен терен	0	26586	44662	89533	129743	168377	175866	174998	146405	102463	57500	29798	20770	1166701	1	Равен	1	Равен	9	Псевдоподзолисти	2	Седиментни (горна креда)	1	Седиментни	190	190	47370	47344	618	612	97	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	234	1	0	26586	44662	89533	129743	168377	175866	174998	146405	102463	57500	29798	20770	1166701	1	1	9	2	1	190	190	47370	47344	618	612	97	97
158	1421			25,866366000	42,609664000	NA	NA	NA	NA	NA		Ford (crossing)	Неопр.		1421			25,866366000	42,609664000	нд	нд	нд	нд	нд	Брод		Стара Загора	Гурково	Паничерево				Топонимия	Топографска карта М 1:126 000 	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	240	Хълмист	1	Равен терен	0	26903	45076	90099	130262	168793	176197	175382	146913	103035	57981	30137	21038	1171817	8	Основа на склон	1	Равен	12	Сиви горски	15	Алувиални и пролувиални отложения (кватернер)	1	Седиментни	137	137	46011	45886	927	905	137	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	240	1	0	26903	45076	90099	130262	168793	176197	175382	146913	103035	57981	30137	21038	1171817	8	1	12	15	1	137	137	46011	45886	927	905	137	137
157	1674			25,867460000	42,619768000	NA	NA	NA	NA	NA		Ford (crossing)	Неопр.		1674			25,867460000	42,619768000	нд	нд	нд	нд	нд	Брод		Сливен	Твърдица	Твърдица				Топонимия	Топографска карта М 1:126 000 	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	242	Хълмист	1	Равен терен	0	26875	45034	90050	130251	168812	176229	175404	146909	103001	57931	30105	21016	1171617	1	Равен	1	Равен	12	Сиви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	38	38	46303	45969	1009	1008	38	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	242	1	0	26875	45034	90050	130251	168812	176229	175404	146909	103001	57931	30105	21016	1171617	1	1	12	11	2	38	38	46303	45969	1009	1008	38	38
