"","Cat","E_coord","N_coord","Вид","КБЕ","РЕ","КРЕ","Праистория","Неолит","Халколит","Бронз","Раннобронзова","Желязна","Ранножелязна","Късножелязна","Елинизъм","Късноантична","СредновековиеXIV","СредновековиеXVII","Ранноср.","Зрялоср.","КСр."
"1",1,25.121508,42.567079,"Крепост",0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0
"2",2,25.121903,42.607059,"Селище",0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"3",7,25.08544,42.564808,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"4",19,25.122262,42.5946,"Селище?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",84,25.069153,42.582595,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",85,25.07012,42.589413,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",87,25.056664,42.525139,"Кула",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",89,25.097811,42.535532,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",90,25.106087,42.587648,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",111,25.140005,42.669997,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",112,25.197613,42.655119,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"12",113,25.146718,42.666886,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1
"13",114,25.157802,42.667002,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"14",133,25.579857,42.725198,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"15",134,25.580386,42.738995,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",139,25.36334469,42.58650142,"Селище",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"17",142,25.38454234,42.57675828,"Селище",0,0,1,0,0,0,0,0,1,0,1,0,2,1,2,0,0,1
